Name,Population,Total Crime,Crime Score,Burglary,Robbery,Violence and Sexual Offences,Flooding,Flooding-index,Average Annual Days of Thunder,Average Annual Days of Thunder - index,Weather Score,% of A&E Attendances With a Wait Less than 4 Hours,% of A&E Attendances With a Wait Less than 4 Hours - index,Doctors Per Person,Doctors Per Person - index,Median Ambulance Response Time (Raw Time),Median Ambulance Response Time (Fractional),Median Ambulance Response Time - index,% of Life-Threatening Ambulance Response Times under 8 Minutes,% of Life-Threatening Ambulance Response Times under 8 Minutes - index,Healthcare Score,Average House Price,Property Age,Average Property Age (Years),Average Property Age (Years) - index,Ground Movement,Ground Movement - index,Property Score,Safety Score,
Kensington and Chelsea,155594,654,3.89,63,11,108,1%,5.50,15,10.00,5.50,94.4%,8.05,0.75,10.00,5:36,5.60,7.43,71%,6.76,7.42,1338592,1930,88,1.75,1.00%,5.50,3.63,5.11,
Kingston upon Thames,166793,450,6.69,16,7,99,1%,5.50,15,10.00,5.50,84.8%,4.72,0.75,10.00,5:51,5.85,6.58,70%,6.40,5.90,487517,1939,79,3.70,1.00%,5.50,4.60,5.67,
Lambeth,314242,801,1.87,44,27,176,1%,5.50,15,10.00,5.50,87.4%,5.62,0.75,10.00,5:06,5.10,9.14,80%,10.00,8.26,514751,1938,80,3.53,1.00%,5.50,4.51,5.03,
Lewisham,286180,476,6.33,24,16,118,0%,10.00,15,10.00,10.00,85.6%,4.98,0.75,10.00,5:18,5.30,8.46,75%,8.20,7.21,412904,1942,76,4.40,1.00%,5.50,4.95,7.12,
Merton,203223,214,9.93,23,3,35,1%,5.50,15,10.00,5.50,87.3%,5.59,0.75,10.00,6:05,5.08,9.21,73%,7.48,7.43,522709,1940,78,3.86,1.00%,5.50,4.68,6.88,
Newham,318227,384,7.60,25,30,90,0%,10.00,15,10.00,10.00,84.6%,4.65,0.75,10.00,5:04,5.07,9.25,77%,8.92,7.61,356945,1941,77,4.10,1.00%,5.50,4.80,7.50,
Redbridge,288272,209,10.00,30,1,48,0%,10.00,15,10.00,10.00,74.1%,1.00,0.75,10.00,5:36,5.60,7.43,72%,7.12,5.18,422918,1939,79,3.65,1.00%,5.50,4.57,7.44,
Richmond upon Thames,191365,247,9.48,23,2,74,1%,5.50,15,10.00,5.50,99.9%,9.97,0.75,10.00,5:18,5.30,8.46,78%,9.28,9.24,654516,1937,81,3.23,1.00%,5.50,4.37,7.15,
Southwark,298464,755,2.50,47,39,113,1%,5.50,15,10.00,5.50,87.4%,5.62,0.75,10.00,5:06,5.10,9.14,80%,10.00,8.26,491911,1944,74,4.81,1.00%,5.50,5.16,5.35,
Sutton,195914,239,9.59,19,9,64,0%,10.00,15,10.00,10.00,87.3%,5.59,0.75,10.00,6:04,6.07,5.83,71%,6.76,6.06,380297,1944,74,4.72,1.00%,5.50,5.11,7.69,
Tower Hamlets,272890,253,9.40,20,11,55,0%,10.00,15,10.00,10.00,100.0%,10.00,0.75,10.00,5:19,5.32,8.39,77%,8.92,9.10,465336,1969,49,10.00,0.00%,10.00,10.00,9.62,
Waltham Forest,265797,708,3.14,60,37,161,0%,10.00,15,10.00,10.00,99.3%,9.76,0.75,10.00,6:20,6.33,4.94,68%,5.68,6.79,441588,1931,87,2.10,1.00%,5.50,3.80,5.93,
Wandsworth,310516,404,7.32,42,9,60,0%,10.00,15,10.00,10.00,83.5%,4.27,0.75,10.00,5:08,5.13,9.04,77%,8.92,7.41,598549,1934,84,2.75,1.00%,5.50,4.12,7.21,
Westminster,226841,864,1.00,18,13,151,1%,5.50,15,10.00,5.50,94.4%,8.05,0.75,10.00,5:06,5.10,9.14,80%,10.00,9.07,1038626,1930,88,1.80,1.00%,5.50,3.65,4.80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
